module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
bmb,anytime,Create Agent,CA,,skill:bmad-agent-builder,bmad-agent-builder,false,,,,,Create Mode,Build a new agent skill from scratch through guided conversational discovery.,output_folder,agent skill
bmb,anytime,Edit Agent,EA,,skill:bmad-agent-builder,bmad-agent-builder,false,,,,,Edit Mode,"Edit, convert or fix an existing agent skill.",output_folder,agent skill
bmb,anytime,Optimize Agent,OA,,skill:bmad-agent-builder,bmad-agent-builder,false,,,,,Validate Mode,"Quality check, validate, review or optimize an existing agent skill.",output_folder,quality report
bmb,anytime,Create Workflow,CW,,skill:bmad-workflow-builder,bmad-workflow-builder,false,,,,,Create Mode,Build a new workflow or skill from scratch through guided conversational discovery.,output_folder,workflow or skill
bmb,anytime,Edit Workflow,EW,,skill:bmad-workflow-builder,bmad-workflow-builder,false,,,,,Edit Mode,"Edit, convert or fix an existing workflow or skill.",output_folder,workflow or skill
bmb,anytime,Optimize Workflow,OW,,skill:bmad-workflow-builder,bmad-workflow-builder,false,,,,,Validate Mode,"Quality check, validate, review or optimize an existing workflow or skill.",output_folder,quality report
cis,anytime,Innovation Strategy,IS,,skill:bmad-cis-innovation-strategy,bmad-cis-innovation-strategy,false,innovation-strategist,bmad:devastatingly simple questions:agent:innovation-strategist,Victor,⚡ Disruptive Innovation Oracle,Create Mode,Identify disruption opportunities and architect business model innovation. Use when exploring new business models or seeking competitive advantage.,output_folder,innovation strategy
cis,anytime,Problem Solving,PS,,skill:bmad-cis-problem-solving,bmad-cis-problem-solving,false,creative-problem-solver,bmad:curious:agent:creative-problem-solver,Dr. Quinn,🔬 Master Problem Solver,Create Mode,Apply systematic problem-solving methodologies to crack complex challenges. Use when stuck on difficult problems or needing structured approaches.,output_folder,problem solution
cis,anytime,Design Thinking,DT,,skill:bmad-cis-design-thinking,bmad-cis-design-thinking,false,design-thinking-coach,bmad:uses vivid sensory metaphors:agent:design-thinking-coach,Maya,🎨 Design Thinking Maestro,Create Mode,Guide human-centered design processes using empathy-driven methodologies. Use for user-centered design challenges or improving user experience.,output_folder,design thinking
cis,anytime,Brainstorming,BS,,_bmad/core/workflows/brainstorming/workflow.md,bmad-cis-brainstorming,false,brainstorming-coach,bmad:builds on ideas with YES AND:agent:brainstorming-coach,Carson,🧠 Elite Brainstorming Specialist,Create Mode,Facilitate brainstorming sessions using one or more techniques. Use early in ideation phase or when stuck generating ideas.,output_folder,brainstorming session results
cis,anytime,Storytelling,ST,,skill:bmad-cis-storytelling,bmad-cis-storytelling,false,storyteller,bmad:whimsical:agent:storyteller,Sophia,📖 Master Storyteller,Create Mode,Craft compelling narratives using proven story frameworks and techniques. Use when needing persuasive communication or story-driven content.,output_folder,narrative/story
core,anytime,Brainstorming,BSP,,skill:bmad-brainstorming,bmad-brainstorming,false,analyst,,,,,Generate diverse ideas through interactive techniques. Use early in ideation phase or when stuck generating ideas.,{output_folder}/brainstorming/brainstorming-session-{{date}}.md,
core,anytime,Party Mode,PM,,skill:bmad-party-mode,bmad-party-mode,false,party-mode facilitator,,,,,Orchestrate multi-agent discussions. Use when you need multiple agent perspectives or want agents to collaborate.,,
core,anytime,bmad-help,BH,,skill:bmad-help,bmad-help,false,,,,,,Get unstuck by showing what workflow steps come next or answering BMad Method questions.,,
core,anytime,Index Docs,ID,,skill:bmad-index-docs,bmad-index-docs,false,,,,,,Create lightweight index for quick LLM scanning. Use when LLM needs to understand available docs without loading everything.,,
core,anytime,Shard Document,SD,,skill:bmad-shard-doc,bmad-shard-doc,false,,,,,,Split large documents into smaller files by sections. Use when doc becomes too large (>500 lines) to manage effectively.,,
core,anytime,Editorial Review - Prose,EP,,skill:bmad-editorial-review-prose,bmad-editorial-review-prose,false,,,,,,"Review prose for clarity, tone, and communication issues. Use after drafting to polish written content.",report located with target document,three-column markdown table with suggested fixes
core,anytime,Editorial Review - Structure,ES,,skill:bmad-editorial-review-structure,bmad-editorial-review-structure,false,,,,,,"Propose cuts, reorganization, and simplification while preserving comprehension. Use when doc produced from multiple subprocesses or needs structural improvement.",report located with target document,
core,anytime,Adversarial Review (General),AR,,skill:bmad-review-adversarial-general,bmad-review-adversarial-general,false,,,,,,"Review content critically to find issues and weaknesses. Use for quality assurance or before finalizing deliverables. Code Review in other modules run this automatically, but its useful also for document reviews",,
core,anytime,Edge Case Hunter Review,ECH,,skill:bmad-review-edge-case-hunter,bmad-review-edge-case-hunter,false,,,,,,"Walk every branching path and boundary condition in code, report only unhandled edge cases. Use alongside adversarial review for orthogonal coverage - method-driven not attitude-driven.",,
core,anytime,Distillator,DG,,skill:bmad-distillator,bmad-distillator,false,,,,,,Lossless LLM-optimized compression of source documents. Use when you need token-efficient distillates that preserve all information for downstream LLM consumption.,adjacent to source document or specified output_path,distillate markdown file(s)
gds,1-preproduction,Brainstorm Game,BG,10,skill:gds-brainstorm-game,bmad-gds-brainstorm-game,false,game-designer,,,,Create Mode,Facilitate game brainstorming sessions with game-specific context and techniques. Use early in ideation phase or when generating game concepts.,output_folder,brainstorming session
gds,1-preproduction,Market Research,MR,15,skill:gds-market-research,bmad-gds-market-research,false,game-designer,,,,Create Mode,Game market analysis competitive landscape player needs and trends.,planning_artifacts,research documents
gds,1-preproduction,Domain Research,DR,16,skill:gds-domain-research,bmad-gds-domain-research,false,game-designer,,,,Create Mode,Game industry domain deep dive subject matter expertise and terminology.,planning_artifacts,research documents
gds,1-preproduction,Technical Research,TR,17,skill:gds-technical-research,bmad-gds-technical-research,false,game-designer,,,,Create Mode,Technical feasibility game engine options and implementation approaches.,planning_artifacts,research documents
gds,1-preproduction,Game Brief,GB,20,skill:gds-create-game-brief,bmad-gds-game-brief,false,game-designer,,,,Create Mode,Interactive game brief creation that guides users through defining their game vision. Use when clarifying game concept and core mechanics.,output_folder,game brief
gds,2-design,Game Design Document,GDD,10,skill:gds-create-gdd,bmad-gds-gdd,false,game-designer,,,,Create Mode,Create a Game Design Document with mechanics systems progression and implementation guidance. Use when documenting comprehensive game design specifications.,planning_artifacts,gdd
gds,2-design,Narrative Design,ND,20,skill:gds-create-narrative,bmad-gds-narrative,false,game-designer,,,,Create Mode,Create comprehensive narrative documentation including story structure character arcs and world-building. Use for story-driven games or narrative integration.,planning_artifacts,narrative design
